run_id,source_center,model,method,seed,case_id,video_id,lesion_id,shape,hard_flat,morphology_group,cluster_id,n_frames,dice_mean
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case45_1,case45,case45_1,Is,False,non_flat,case45_1:case45,118,0.317691
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case45_2,case45,case45_2,Is,False,non_flat,case45_2:case45,134,0.077202
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case45_3,case45,case45_3,Is,False,non_flat,case45_3:case45,131,0.552737
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case46,case46,case46,IIa,True,hard_flat_IIa,case46:case46,170,0.466123
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case47_1,case47,case47_1,Is,False,non_flat,case47_1:case47,150,0.672858
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case47_2,case47,case47_2,Is,False,non_flat,case47_2:case47,150,0.759061
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case47_3,case47,case47_3,Is,False,non_flat,case47_3:case47,150,0.885355
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case47_4,case47,case47_4,Is,False,non_flat,case47_4:case47,133,0.887567
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case47_5,case47,case47_5,Is,False,non_flat,case47_5:case47,122,0.84962
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case48,case48,case48,Is,False,non_flat,case48:case48,176,0.540944
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case49,case49,case49,IIa,True,hard_flat_IIa,case49:case49,181,0.176802
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case50_1,case50,case50_1,Ip,False,non_flat,case50_1:case50,203,0.733074
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case50_2,case50,case50_2,Ip,False,non_flat,case50_2:case50,150,0.805357
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case50_3,case50,case50_3,Ip,False,non_flat,case50_3:case50,150,0.84445
